Date,Model,Region,Units_Sold,Price_Per_Unit,Revenue,Expenses,Profit
2023-01-01,iPhone 15 Pro,North,7,70000,490000,401360.0398509865,88639.9601490135
2023-01-01,iPhone 15,South,12,70000,840000,618613.2021772368,221386.7978227632
2023-01-01,iPhone 15,East,8,120000,960000,809745.7840000276,150254.21599997242
2023-01-01,iPhone 14,South,1,120000,120000,88831.4620610011,31168.537938998896
2023-01-01,iPhone 13,East,6,120000,720000,468792.6794577965,251207.3205422035
2023-01-01,iPhone 15,South,16,90000,1440000,1060120.6615332358,379879.3384667642
2023-01-01,iPhone 14,West,15,70000,1050000,698719.8752894606,351280.12471053936
2023-01-01,iPhone 15 Pro,East,18,90000,1620000,1269451.1475084685,350548.8524915315
2023-01-01,iPhone 15 Pro,North,16,120000,1920000,1346033.16280295,573966.83719705
2023-01-01,iPhone 14,North,15,90000,1350000,1099938.7218769905,250061.27812300948
2023-01-02,iPhone 14,West,15,90000,1350000,1141360.2076672667,208639.79233273328
2023-01-02,iPhone 15 Pro,North,8,120000,960000,748761.2307241176,211238.7692758824
2023-01-02,iPhone 14,East,1,120000,120000,87823.08254787684,32176.91745212316
2023-01-02,iPhone 13,East,19,70000,1330000,1002057.4052149842,327942.5947850158
2023-01-02,iPhone 15,West,5,70000,350000,295420.23496133526,54579.765038664744
2023-01-02,iPhone 15 Pro,West,14,90000,1260000,968203.6622664318,291796.33773356816
2023-01-03,iPhone 14,North,5,80000,400000,292851.517115976,107148.48288402398
2023-01-03,iPhone 15,East,6,70000,420000,264038.0193173285,155961.98068267148
2023-01-03,iPhone 13,East,12,80000,960000,625116.8471151184,334883.1528848816
2023-01-03,iPhone 14,East,7,120000,840000,670342.2136771412,169657.78632285877
2023-01-03,iPhone 15 Pro,South,16,70000,1120000,862899.2739394567,257100.72606054333
2023-01-03,iPhone 13,West,7,80000,560000,363053.0388078814,196946.9611921186
2023-01-03,iPhone 15 Pro,East,5,120000,600000,504687.02787024796,95312.97212975204
2023-01-03,iPhone 13,East,4,120000,480000,376513.33940785594,103486.66059214406
2023-01-04,iPhone 15,South,14,120000,1680000,1279124.2761696624,400875.72383033764
2023-01-04,iPhone 14,North,4,70000,280000,227217.1555796109,52782.8444203891
2023-01-04,iPhone 14,East,2,70000,140000,84008.83590716968,55991.164092830324
2023-01-05,iPhone 15,West,14,70000,980000,788906.8164550292,191093.18354497082
2023-01-05,iPhone 15 Pro,South,3,70000,210000,135492.55833947586,74507.44166052414
2023-01-05,iPhone 13,West,14,80000,1120000,753564.7864374421,366435.21356255794
